lev          zR         tAm         sAm         vAm         wAm         ent         det      fwFlux    heatFlux       rhoAm
   1 -0.7750E+03  0.2833E+01  0.3460E+02  0.1727E-01  0.3037E-04 -0.3955E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.3121E+02
   2 -0.7250E+03  0.2829E+01  0.3460E+02  0.2414E-01 -0.1397E-02 -0.6008E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.3098E+02
   3 -0.6750E+03  0.2826E+01  0.3460E+02  0.2566E-01 -0.3361E-02 -0.7573E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.3075E+02
   4 -0.6250E+03  0.2822E+01  0.3460E+02  0.2114E-01 -0.3887E-02 -0.8970E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.3052E+02
   5 -0.5750E+03  0.2821E+01  0.3461E+02  0.3192E-01 -0.5868E-02 -0.1026E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.3029E+02
   6 -0.5250E+03  0.2833E+01  0.3460E+02  0.2099E-01 -0.8751E-02 -0.1147E+04  0.0000E+00  0.0000E+00  0.0000E+00  0.3005E+02
   7 -0.4900E+03  0.2859E+01  0.3460E+02  0.2694E-01 -0.1160E-01 -0.4914E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.2988E+02
   8 -0.4700E+03  0.2886E+01  0.3460E+02  0.2646E-01 -0.1488E-01 -0.5094E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.2978E+02
   9 -0.4500E+03  0.2919E+01  0.3460E+02  0.2945E-01 -0.1820E-01 -0.5270E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.2969E+02
  10 -0.4300E+03  0.2939E+01  0.3459E+02  0.3069E-01 -0.2157E-01 -0.5442E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.2959E+02
  11 -0.4100E+03  0.2979E+01  0.3459E+02  0.2384E-01 -0.2377E-01 -0.5612E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.2948E+02
  12 -0.3900E+03  0.3044E+01  0.3458E+02  0.3024E-01 -0.2610E-01 -0.5776E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.2938E+02
  13 -0.3700E+03  0.3056E+01  0.3456E+02  0.2541E-01 -0.2794E-01 -0.5936E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.2927E+02
  14 -0.3500E+03  0.3000E+01  0.3453E+02  0.3256E-01 -0.2965E-01 -0.6091E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.2916E+02
  15 -0.3300E+03  0.2750E+01  0.3447E+02  0.4079E-01 -0.3244E-01 -0.6239E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.2904E+02
  16 -0.3100E+03  0.2477E+01  0.3438E+02  0.4632E-01 -0.3666E-01 -0.6379E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.2890E+02
  17 -0.2900E+03  0.2345E+01  0.3434E+02  0.4211E-01 -0.3988E-01 -0.6510E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.2878E+02
  18 -0.2700E+03  0.2239E+01  0.3430E+02  0.4853E-01 -0.4022E-01 -0.6635E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.2867E+02
  19 -0.2500E+03  0.2132E+01  0.3426E+02  0.5097E-01 -0.3754E-01 -0.6755E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.2855E+02
  20 -0.2300E+03  0.2014E+01  0.3420E+02  0.6127E-01 -0.3583E-01 -0.6865E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.2842E+02
  21 -0.2100E+03  0.1914E+01  0.3415E+02  0.3547E-01 -0.3398E-01 -0.6966E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.2829E+02
  22 -0.1900E+03  0.1804E+01  0.3410E+02  0.4610E-01 -0.3127E-01 -0.7056E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.2817E+02
