lev          zW           t           s           r           w           a        mInt     volFlux         rho
   0 -0.8000E+03  0.0000E+00  0.1000E-02  0.1262E+02  0.1000E+01  0.0000E+00  0.0000E+00  0.2500E+03  0.3907E+01
   1 -0.7500E+03  0.1726E+01  0.2120E+02  0.1258E+02  0.2598E+01  0.1062E+04  0.6393E-01  0.6455E+03  0.2056E+02
   2 -0.7000E+03  0.2247E+01  0.2766E+02  0.1826E+02  0.2380E+01  0.2601E+04  0.2130E+00  0.1246E+04  0.2541E+02
   3 -0.6500E+03  0.2456E+01  0.3028E+02  0.2417E+02  0.2184E+01  0.4721E+04  0.4218E+00  0.2004E+04  0.2724E+02
   4 -0.6000E+03  0.2561E+01  0.3161E+02  0.3013E+02  0.2034E+01  0.7436E+04  0.6787E+00  0.2901E+04  0.2805E+02
   5 -0.5500E+03  0.2622E+01  0.3239E+02  0.3610E+02  0.1918E+01  0.1075E+05  0.9774E+00  0.3927E+04  0.2843E+02
   6 -0.5000E+03  0.2665E+01  0.3289E+02  0.4209E+02  0.1823E+01  0.1466E+05  0.1313E+01  0.5074E+04  0.2859E+02
   7 -0.4800E+03  0.2680E+01  0.3304E+02  0.4450E+02  0.1790E+01  0.1639E+05  0.1458E+01  0.5566E+04  0.2861E+02
   8 -0.4600E+03  0.2695E+01  0.3317E+02  0.4690E+02  0.1758E+01  0.1822E+05  0.1607E+01  0.6075E+04  0.2862E+02
   9 -0.4400E+03  0.2710E+01  0.3328E+02  0.4931E+02  0.1729E+01  0.2014E+05  0.1762E+01  0.6602E+04  0.2862E+02
  10 -0.4200E+03  0.2726E+01  0.3338E+02  0.5173E+02  0.1700E+01  0.2216E+05  0.1922E+01  0.7146E+04  0.2860E+02
  11 -0.4000E+03  0.2743E+01  0.3347E+02  0.5415E+02  0.1673E+01  0.2428E+05  0.2087E+01  0.7707E+04  0.2857E+02
  12 -0.3800E+03  0.2761E+01  0.3355E+02  0.5660E+02  0.1647E+01  0.2649E+05  0.2257E+01  0.8285E+04  0.2854E+02
  13 -0.3600E+03  0.2779E+01  0.3361E+02  0.5906E+02  0.1620E+01  0.2881E+05  0.2432E+01  0.8879E+04  0.2850E+02
  14 -0.3400E+03  0.2789E+01  0.3367E+02  0.6156E+02  0.1594E+01  0.3122E+05  0.2612E+01  0.9488E+04  0.2845E+02
  15 -0.3200E+03  0.2785E+01  0.3372E+02  0.6411E+02  0.1566E+01  0.3373E+05  0.2795E+01  0.1011E+05  0.2839E+02
  16 -0.3000E+03  0.2766E+01  0.3376E+02  0.6673E+02  0.1537E+01  0.3635E+05  0.2981E+01  0.1075E+05  0.2833E+02
  17 -0.2800E+03  0.2741E+01  0.3379E+02  0.6939E+02  0.1507E+01  0.3907E+05  0.3170E+01  0.1140E+05  0.2826E+02
  18 -0.2600E+03  0.2712E+01  0.3382E+02  0.7209E+02  0.1478E+01  0.4190E+05  0.3360E+01  0.1206E+05  0.2819E+02
  19 -0.2400E+03  0.2680E+01  0.3384E+02  0.7483E+02  0.1448E+01  0.4484E+05  0.3551E+01  0.1274E+05  0.2812E+02
  20 -0.2200E+03  0.2644E+01  0.3386E+02  0.7766E+02  0.1417E+01  0.4789E+05  0.3744E+01  0.1343E+05  0.2805E+02
  21 -0.2000E+03  0.2607E+01  0.3387E+02  0.8058E+02  0.1385E+01  0.5105E+05  0.3936E+01  0.1412E+05  0.2797E+02
  22 -0.1800E+03  0.2567E+01  0.3388E+02  0.8359E+02  0.1351E+01  0.5434E+05  0.4129E+01  0.1483E+05  0.2788E+02
  23 -0.1600E+03  0.2523E+01  0.3389E+02  0.8671E+02  0.1316E+01  0.5774E+05  0.4321E+01  0.1554E+05  0.2780E+02
  24 -0.1400E+03  0.2471E+01  0.3389E+02  0.9000E+02  0.1278E+01  0.6128E+05  0.4511E+01  0.1626E+05  0.2771E+02
  25 -0.1200E+03  0.2409E+01  0.3389E+02  0.9353E+02  0.1236E+01  0.6494E+05  0.4699E+01  0.1699E+05  0.2762E+02
  26 -0.1000E+03  0.2340E+01  0.3389E+02  0.9736E+02  0.1190E+01  0.6876E+05  0.4884E+01  0.1771E+05  0.2753E+02
  27 -0.9000E+02  0.2302E+01  0.3388E+02  0.0000E+00  0.0000E+00  0.7073E+05  0.4975E+01  0.0000E+00  0.2748E+02
  28 -0.8000E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2523E+00
  29 -0.7000E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2011E+00
  30 -0.6000E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1499E+00
  31 -0.5000E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.9875E-01
  32 -0.4000E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.4755E-01
  33 -0.3500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2191E-01
  34 -0.3000E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.3662E-02
  35 -0.2500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.2930E-01
  36 -0.2000E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.5493E-01
  37 -0.1500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.8057E-01
  38 -0.1000E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.1061E+00
  39 -0.5000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.1318E+00
  40  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.1574E+00
